platform,source_file,report_type,imported_at,rows_seen,rows_inserted,status,notes
Clips4Sale,2026-07-13_11-44-06_statistics_sales_track-sales-this_month.csv,sales_views,2026-07-13T11:49:16,13,3,,
Curvage,2026-07-20_07-36-07_curvage_manual_earnings (50).csv,sales,2026-07-20T07:38:01,87,6,ok,
ManyVids,2026-07-13_07-41-00_manyvids_recent_sales_View-my-earnings_recentSalesBody.csv,recent_sales,2026-07-13T07:42:37,300,2,ok,
OnlyFans,2026-07-20_07-44-19_onlyfans_native_posts_2026-01-01_to_2026-07-20.json,post_statistics,2026-07-20T07:45:29,22,22,ok,
ModelCentro,2026-07-13_11-50-00_modelcentro_transactions_chrome.csv,transactions,2026-07-13T11:51:12,150,11,ok,
