calendar_type,date,title,status,priority,days_from_today,days_live,canonical_content_id,content_group,platforms,sales,lifetime_gross,lifetime_net,latest_7_net,mtd_net,ytd_net,net_per_day,first_offered_basis,first_offered_confidence,promo_angle,target_platforms,price_plan,price_tier,test_type,hypothesis,success_metric,notes,source
Released,2025-03-02,SSBBW Rips Leggings and Fucks Pussy,released,,-501,502,Video 0263,Video,ManyVids,3,59.95,35.97,,,35.97,0.07,master content release date,high,,ManyVids,,,,,,,content_group_summary
Released,2025-03-10,After-Gym Stuffing,released,,-493,494,Video 0264,Video,"Curvage, ManyVids",8,204.02,148.35,,,148.35,0.3,master content release date,high,,"Curvage, ManyVids",,,,,,,content_group_summary
Released,2025-04-11,Stuffing Until I'm Stuck,released,,-461,462,Video 0266,Video,Curvage,6,198.48,147.2,,,147.2,0.32,master content release date,high,,Curvage,,,,,,,content_group_summary
Released,2025-04-16,SSBBW Burps and Farts While Stuffing,released,,-456,457,Video 0267,Video,"Curvage, ManyVids",13,639.4,454.48,26.04,52.08,454.48,0.99,master content release date,high,,"Curvage, ManyVids",,,,,,,content_group_summary
Released,2025-04-23,Work Meeting Masturbation,released,,-449,450,Video 0268,Video,ManyVids,2,43.97,26.38,,,26.38,0.06,master content release date,high,,ManyVids,,,,,,,content_group_summary
Released,2025-04-27,Therapist Turns You Into a Feeder Part 2,released,,-445,446,Video 0269,Video,Curvage,1,24.99,18.54,,18.54,18.54,0.04,master content release date,high,,Curvage,,,,,,,content_group_summary
Released,2025-06-10,Neighbor Gets Bred,released,,-401,402,Video 0270,Video,ManyVids,6,125.9,75.54,,,75.54,0.19,master content release date,high,,ManyVids,,,,,,,content_group_summary
Released,2025-07-21,Co-workers' Revenge: Cake Stuffing and Rapid Growth,released,,-360,361,Video 0271,Video,"Curvage, ManyVids",41,1521.37,1112.45,41.58,58.37,1112.45,3.08,master content release date,high,,"Curvage, ManyVids",,,,,,,content_group_summary
Released,2025-08-09,SSBBW Squashes You Under Ass and Feet,released,,-341,342,Video 0273,Video,"Curvage, ManyVids",7,348.6,253.32,,,253.32,0.74,master content release date,high,,"Curvage, ManyVids",,,,,,,content_group_summary
Released,2025-08-16,Pantyhose Pussy Licking and Toe Sucking,released,,-334,335,Video 0274,Video,ManyVids,2,43.97,26.38,,,26.38,0.08,master content release date,high,,ManyVids,,,,,,,content_group_summary
Released,2025-10-18,Hungry Girlfriend Ignores You,released,,-271,272,Video 0276,Video,"Curvage, ManyVids",7,111.9,73.73,,11.79,73.73,0.27,master content release date,high,,"Curvage, ManyVids",,,,,,,content_group_summary
Released,2025-11-14,Dorothy Returns to Oz POV,released,,-244,245,Video 0277,Video,"ManyVids, OnlyFans",14,335.81,230.27,,,115.12,0.94,master content release date,high,,"ManyVids, OnlyFans",,,,,,,content_group_summary
Released,2025-11-19,Therapist Turns You Into a Feeder Part 3,released,,-239,240,Video 0278,Video,"Curvage, ManyVids",2,59.97,40.28,17.99,17.99,40.28,0.17,master content release date,high,,"Curvage, ManyVids",,,,,,,content_group_summary
Released,2025-12-01,Greedy SSBBW Stuffs Whole Thanksgiving Dinner,released,,-227,228,Video 0279,Video,"Curvage, ManyVids",39,1628.14,1198.77,,23.79,1198.77,5.26,master content release date,high,,"Curvage, ManyVids",,,,,,,content_group_summary
Released,2025-12-26,Ex GF Got Fat - Holiday Hookup,released,,-202,203,Video 0280,Video,"Clips4Sale, Curvage, ManyVids",14,297.78,183.36,,12.54,170.17,0.9,master content release date,high,,"Clips4Sale, Curvage, ManyVids",,,,,,,content_group_summary
Released,2026-01-30,Gassy Giantess Gobbles You Up,released,,-167,168,Video 0281,Video,"Clips4Sale, Curvage, ManyVids, OnlyFans",74,2069.12,1562.12,18.54,18.54,827.42,9.3,master content release date,high,,"Clips4Sale, Curvage, ManyVids, OnlyFans",,,,,,,content_group_summary
Released,2026-02-22,Diet Pills Gone Wrong,released,,-144,145,Video 0282,Video,"Curvage, ManyVids, OnlyFans",226,3827.6,2841.09,,11.04,2265.48,19.59,master content release date,high,,"Curvage, ManyVids, OnlyFans",,,,,,,content_group_summary
Released,2026-03-04,HR Fatty Makes You Her Feeder POV,released,,-134,135,Video 0283,Video,"Curvage, ManyVids, OnlyFans",179,2902.89,2162.07,,17.58,1586.36,16.02,master content release date,high,,"Curvage, ManyVids, OnlyFans",,,,,,,content_group_summary
Released,2026-03-11,Stuffed Girlfriend Gets Gassy,released,,-127,128,Video 0284,Video,"Clips4Sale, Curvage, ManyVids, OnlyFans",110,2499.79,1856.84,,29.58,1525.01,14.51,master content release date,high,,"Clips4Sale, Curvage, ManyVids, OnlyFans",,,,,,,content_group_summary
Released,2026-04-06,Bouncing My Oiled-Up Fat,released,,-101,102,Video 0220,Video,OnlyFans,0,0.0,0.0,,,,0.0,OF message sent date,medium,,OnlyFans,,,,,,,content_group_summary
Released,2026-04-06,Exercise After Gaining,released,,-101,102,Video 0285,Video,"Clips4Sale, Curvage, ManyVids, OnlyFans",82,2640.33,1954.36,,41.58,1556.91,19.16,master content release date,high,,"Clips4Sale, Curvage, ManyVids, OnlyFans",,,,,,,content_group_summary
Released,2026-04-20,Stuffed and Horny,released,,-87,88,Video 0286,Video,ManyVids,11,406.82,244.09,22.19,22.19,244.09,2.77,master content release date,high,,ManyVids,,,,,,,content_group_summary
Released,2026-04-27,The Diet of a Gaining SSBBW,released,,-80,81,Video 0287,Video,"Curvage, ManyVids, OnlyFans",24,671.75,513.39,,,199.9,6.34,master content release date,high,,"Curvage, ManyVids, OnlyFans",,,,,,,content_group_summary
Released,2026-05-04,Gaining SSBBW Wants to Reach 600lbs,released,,-73,74,Video 0288,Video,"Clips4Sale, Curvage, ManyVids, OnlyFans",110,2392.04,1768.06,,14.79,1276.31,23.89,master content release date,high,,"Clips4Sale, Curvage, ManyVids, OnlyFans",,,,,,,content_group_summary
Released,2026-05-12,Greedy fatty gets messy stuffing cake!,released,,-65,66,exact-title:greedy-fatty-gets-messy-stuffing-cake,Video,Curvage,1,12.99,9.54,,,9.54,0.14,sale date,low,,Curvage,,,,,,,content_group_summary
Released,2026-05-12,Messy piggy stuffs chocolate cake!,released,,-65,66,exact-title:messy-piggy-stuffs-chocolate-cake,Video,Curvage,2,25.98,19.08,,9.54,19.08,0.29,sale date,low,,Curvage,,,,,,,content_group_summary
Released,2026-05-21,Best Friend's Mom Teases You,released,,-56,57,Video 0289,Video,"Clips4Sale, Curvage, ManyVids, OnlyFans",195,4761.8,3492.19,46.37,153.9,1840.8,61.27,master content release date,high,,"Clips4Sale, Curvage, ManyVids, OnlyFans",,,,,,,content_group_summary
Released,2026-06-11,Fucking Your Stuffed SSBBW Girlfriend POV,released,,-35,36,Video 0290,Video,"Clips4Sale, ManyVids, OnlyFans",48,1007.36,709.37,12.59,50.36,239.21,19.7,master content release date,high,,"Clips4Sale, ManyVids, OnlyFans",,,,,,,content_group_summary
Released,2026-06-27,Greedy SSBBW Devours Roommates Leftovers,released,,-19,20,Video 0291,Video,"Clips4Sale, Curvage, ManyVids",59,2182.35,1576.71,264.7,799.45,1554.52,78.84,master content release date,high,,"Clips4Sale, Curvage, ManyVids",,,,,,,content_group_summary
Planned,2026-07-05,Weigh In Video,filming,high,-11,,,Planned,,,,,,,,,planned release date,planned,weigh-in progress update,,,,,,,Filming next release tomorrow.,planned_releases.csv
Planned,2026-07-09,Weigh In Video,target release,high,-7,,,Planned,,,,,,,,,planned release date,planned,weigh-in progress update,,,,,,,Target release date; schedule/upload ahead so July 10 stays clear.,planned_releases.csv
Planned,2026-07-14,Film Untitled July Release 2,filming,high,-2,,,Planned,,,,,,,,,planned release date,planned,,,,,,,,Film day for the July 20 release.,planned_releases.csv
