platform,title,clean_item_label,clip_id,sales_count,gross_amount,net_amount,avg_gross_per_sale,avg_net_per_sale,filename,format,clip_length,size,resolution,date_added,source_file,imported_at,row_hash
Clips4Sale,Greedy SSBBW Stuffs Whole Thanksgiving Dinner,Greedy SSBBW Stuffs Whole Thanksgiving Dinner,32430185,27,863.55,518.13,31.98,19.19,lady_sublime_ssbbw_bitchy_thanksgiving_stuffing_burping_obese_fat_belly_rubbing_watermark_4k_cli_251,mov,00:27:11,5795,3840x2160,2025-12-01 22:30:21,2026-07-03_07-31-50_title_summary_2026-01-01_to_2026-07-03_Sales_Summary_by_Title_1-01-2026_to_1-01-2026.csv,2026-07-03T07:32:01,1f2fe5a40f121f98875a7b938fa4f5f3b8a1996d105f803840d2b6ea2c0f70e4
Clips4Sale,Gaining SSBBW Wants to Reach 600lbs,Gaining SSBBW Wants to Reach 600lbs,33664361,43,859.28,515.57,19.98,11.99,lady_sublime_weight_gain_chat_eating_belly_play_bikini_tease_watermark_4k_clips4sale_260504185433.mo,mov,00:11:53,5768,3840x2160,2026-05-04 18:54:33,2026-07-03_07-31-50_title_summary_2026-01-01_to_2026-07-03_Sales_Summary_by_Title_1-01-2026_to_1-01-2026.csv,2026-07-03T07:32:01,0efc845197a8e924db663143005acca3155c6a753e68b96b44e0c05ff6aa7419
Clips4Sale,Gaining SSBBW Smokes and Shares Workout Routine,Gaining SSBBW Smokes and Shares Workout Routine,33428121,26,727.57,436.54,27.98,16.79,lady_sublime_ssbbw_workout_weight_gain_chat_smoking_stretching_watermark_4k_clips4sale_260404175023.,mov,00:22:03,5729,3840x2160,2026-04-06 10:00:09,2026-07-03_07-31-50_title_summary_2026-01-01_to_2026-07-03_Sales_Summary_by_Title_1-01-2026_to_1-01-2026.csv,2026-07-03T07:32:01,f41f0f290ff31c11814a513f6a3b823613dc92f8f208f4e2698ac486486d4e37
Clips4Sale,SSBBW Burps and Farts While Stuffing,SSBBW Burps and Farts While Stuffing,30943493,19,664.68,398.81,34.98,20.99,lady sublime ssbbw eating facestuffing taco overeating farts burps bloating gas -4k clips4sale.mov,mov,00:29:26,5727,3840x2160,2025-04-17 10:00:09,2026-07-03_07-31-50_title_summary_2026-01-01_to_2026-07-03_Sales_Summary_by_Title_1-01-2026_to_1-01-2026.csv,2026-07-03T07:32:01,344919f8b85f3119d83d65b02efa65d4e95f2f645601ec3ff6f005e11fa14bc7
Clips4Sale,SSBBW Psychologist III: Making You My Feeder POV,SSBBW Psychologist III: Making You My Feeder POV,32335365,17,509.72,305.83,29.98,17.99,lady_sublime_ssbbw_stuffing_feeder_feedee_overeating_roleplay_watermark_4k_clips4sale_251118184607.m,mov,00:36:26,5428,4224x3024,2025-11-20 10:00:09,2026-07-03_07-31-50_title_summary_2026-01-01_to_2026-07-03_Sales_Summary_by_Title_1-01-2026_to_1-01-2026.csv,2026-07-03T07:32:01,677a50b9f7dfe2d29ba7fd9d778a1c8ec0308aca31c38a3a0c0e2f42749c8ea6
Clips4Sale,Horny SSBBW Neighbor Wants Your Baby POV,Horny SSBBW Neighbor Wants Your Baby POV,31325075,21,440.65,264.39,20.98,12.59,lady sublime ssbbw impregnation fantasy breeding lingerie neighbor roleplay  clips4sale.mov,mov,00:11:14,5694,3840x2160,2025-06-16 22:04:16,2026-07-03_07-31-50_title_summary_2026-01-01_to_2026-07-03_Sales_Summary_by_Title_1-01-2026_to_1-01-2026.csv,2026-07-03T07:32:01,3b61ee2a12dd857d3583bc9f828170ec5b09e59f0d15e3eaf64c514563b09ad1
Clips4Sale,Gaining SSBBW Dorothy Fucks Wizard POV,Gaining SSBBW Dorothy Fucks Wizard POV,32299209,16,383.73,230.24,23.98,14.39,lady_sublime_ssbbw_cosplay_dorothy_gaining_weight_fat_pov_fuck_machine_costume_high_heels_waterm_251,mov,00:20:34,5676,4224x3024,2025-11-14 00:48:25,2026-07-03_07-31-50_title_summary_2026-01-01_to_2026-07-03_Sales_Summary_by_Title_1-01-2026_to_1-01-2026.csv,2026-07-03T07:32:01,737d272cd38722ceb7185796e4ec4e0101aec31466413c37ee5a6ad48249a520
Clips4Sale,SSBBW Squashes You Under Ass and Feet,SSBBW Squashes You Under Ass and Feet,31663021,20,359.67,215.8,17.98,10.79,lady sublime ssbbw ass smothering crushing object popping watermark-4k clips4sale.mov,mov,00:10:03,5743,3840x2160,2025-08-10 16:34:39,2026-07-03_07-31-50_title_summary_2026-01-01_to_2026-07-03_Sales_Summary_by_Title_1-01-2026_to_1-01-2026.csv,2026-07-03T07:32:01,e9d9cc937ccc46137b14b45349050ec985aa6249896c7e86c4a732644b9e2f29
Clips4Sale,Gaining SSBBW Wife Fucks You POV,Gaining SSBBW Wife Fucks You POV,30632943,16,351.73,211.04,21.98,13.19,lady sublime ssbbw weight gain too fat pov fucking masturbation cum watermark-4k clips4sale.mov,mov,00:13:41,5760,3840x2160,2025-02-24 02:00:04,2026-07-03_07-31-50_title_summary_2026-01-01_to_2026-07-03_Sales_Summary_by_Title_1-01-2026_to_1-01-2026.csv,2026-07-03T07:32:01,b7c64ceb39d309d514b798e042948029fb9cbd20c10e1544bf1b2ba7be823f68
Clips4Sale,SSBBW Stuffs in the Car Until Stuck,SSBBW Stuffs in the Car Until Stuck,30931393,11,318.82,191.29,28.98,17.39,lady sublime ssbbw eating in car food stuffing too big oversized -4k clips4sale.mov,mov,00:36:09,5771,3840x2160,2025-04-14 23:54:32,2026-07-03_07-31-50_title_summary_2026-01-01_to_2026-07-03_Sales_Summary_by_Title_1-01-2026_to_1-01-2026.csv,2026-07-03T07:32:01,c8d85c5a8598d4c98bf9ce93e90620ab6c2be78291547a6d765d067082c845b3
Clips4Sale,Horny SSBBW Secretly Cums During Meeting,Horny SSBBW Secretly Cums During Meeting,30985471,13,285.78,171.47,21.98,13.19,lady sublime ssbbw masturbation vibrator fat pussy cum moaning watermark 4K C4S.mov,mov,00:13:48,5709,3840x2160,2025-04-23 20:38:19,2026-07-03_07-31-50_title_summary_2026-01-01_to_2026-07-03_Sales_Summary_by_Title_1-01-2026_to_1-01-2026.csv,2026-07-03T07:32:01,729c6871580017385ed9db6f18f5932895e870f5e1cb1ff78ef9ecde10c54fdf
Clips4Sale,Gaining SSBBW Smoking and Clothes Try On,Gaining SSBBW Smoking and Clothes Try On,31897715,10,279.83,167.9,27.98,16.79,lady sublime ssbbw clothes try on outfit weight gain fat chat -4k clips4sale.mov,mov,00:35:37,5813,3840x2160,2025-09-15 18:20:29,2026-07-03_07-31-50_title_summary_2026-01-01_to_2026-07-03_Sales_Summary_by_Title_1-01-2026_to_1-01-2026.csv,2026-07-03T07:32:01,fc553b3438cbe0549a16f899bd1fe03a7e236ba5ab7dd60d5e991eead5c5f82d
Clips4Sale,Gassy SSBBW Ignores You and Stuffs,Gassy SSBBW Ignores You and Stuffs,32167641,16,255.73,153.44,15.98,9.59,lady sublime ssbbw messy eating burps and farts food stuffing weight gain feedee -clips4sale.mov,mov,00:16:08,5800,4224x3024,2025-10-24 23:03:51,2026-07-03_07-31-50_title_summary_2026-01-01_to_2026-07-03_Sales_Summary_by_Title_1-01-2026_to_1-01-2026.csv,2026-07-03T07:32:01,b84c8e232b9220977a9e1911512b047dbe651281c3240ff354494117cce020ba
