platform,gross_amount,net_amount,rows,first_date,last_date,gross_method,net_method
Clips4Sale,34246.92,20548.15,1637,2026-01-01,2026-07-13,exported gross-like transaction total,validated at 60% of C4S transaction gross
Curvage,21518.23,16355.07,212,2026-01-01,2026-07-14,estimated from observed Curvage earnings / total_sales overlap; exported item-level total_sales for overlapping date; exported latest item/date total_sales snapshot,exported Curvage daily monetary purchases through latest full daily export; exported latest item/date earnings snapshot after latest daily monetary export
ManyVids,8748.91,5263.33,381,2026-01-31,2026-07-13,estimated from ManyVids 60% payout rate for Video; estimated from ManyVids 80% payout rate for Club; estimated from ManyVids monthly earnings category payout rates after subtracting captured Recent Sales,exported Recent Sales total; manual monthly total net less already captured Recent Sales rows
OnlyFans,16943.37,13554.64,179,2026-01-01,2026-07-09,exported Supercreator account total_gross; exported native OnlyFans statement gross,estimated at 80% of Supercreator gross; exported native OnlyFans statement net after OF fee
ModelCentro,28409.91,18803.05,1445,2026-01-01,2026-07-13,exported transaction gross,exported transaction net
