platform,title,clean_item_label,item_id,price,sales_count,gross_amount,net_amount,avg_gross_per_sale,avg_net_per_sale,views,likes,status_or_category,first_date,last_date,first_offered_date,first_offered_basis,first_offered_confidence,recency_basis,grain,source_page,source_file,imported_at
ManyVids,Worship My Fat SSBBW Body,Worship My Fat SSBBW Body,5031769,16.99,56,1129.33,677.6,20.17,12.1,523.0,48.0,Custom Vid,,2026-07-05,,,,all-time content manager snapshot,supplemental all-time content manager rollup,2,outputs/master_content_list_sources/20260705T000921Z_manyvids_content_manager.csv,2026-07-04T20:09:39
ManyVids,Fat Fitness Instructor Causes Shaking,Fat Fitness Instructor Causes Shaking,4974499,13.99,24,263.77,158.26,10.99,6.59,495.0,19.0,Launched,,2026-07-05,,,,all-time content manager snapshot,supplemental all-time content manager rollup,2,outputs/master_content_list_sources/20260705T000921Z_manyvids_content_manager.csv,2026-07-04T20:09:39
ManyVids,SSBBW Loves Being Bigger Than You,SSBBW Loves Being Bigger Than You,4974240,14.99,28,419.72,251.83,14.99,8.99,695.0,32.0,Launched,,2026-07-05,,,,all-time content manager snapshot,supplemental all-time content manager rollup,2,outputs/master_content_list_sources/20260705T000921Z_manyvids_content_manager.csv,2026-07-04T20:09:39
ManyVids,SSBBW Car Struggles and Topless Driving,SSBBW Car Struggles and Topless Driving,4968610,20.99,30,975.37,585.22,32.51,19.51,520.0,16.0,Custom Vid,,2026-07-05,,,,all-time content manager snapshot,supplemental all-time content manager rollup,2,outputs/master_content_list_sources/20260705T000921Z_manyvids_content_manager.csv,2026-07-04T20:09:39
ManyVids,Fat Girl Struts in Black Lace Romper,Fat Girl Struts in Black Lace Romper,4962864,14.99,16,473.67,284.2,29.6,17.76,259.0,20.0,Custom Vid,,2026-07-05,,,,all-time content manager snapshot,supplemental all-time content manager rollup,2,outputs/master_content_list_sources/20260705T000921Z_manyvids_content_manager.csv,2026-07-04T20:09:39
ManyVids,Fatty Chugs Three Large Milkshakes,Fatty Chugs Three Large Milkshakes,4959907,16.99,42,698.28,418.97,16.63,9.98,730.0,31.0,Launched,,2026-07-05,,,,all-time content manager snapshot,supplemental all-time content manager rollup,2,outputs/master_content_list_sources/20260705T000921Z_manyvids_content_manager.csv,2026-07-04T20:09:39
ManyVids,Tight Clothes Make Growing SSBBW Horny,Tight Clothes Make Growing SSBBW Horny,4879567,15.99,37,517.63,310.58,13.99,8.39,822.0,32.0,Launched,,2026-07-05,,,,all-time content manager snapshot,supplemental all-time content manager rollup,2,outputs/master_content_list_sources/20260705T000921Z_manyvids_content_manager.csv,2026-07-04T20:09:39
ManyVids,Oiled Up Fatty Does Naked Workout,Oiled Up Fatty Does Naked Workout,4876492,13.99,21,551.0,330.6,26.24,15.74,460.0,19.0,Custom Vid,,2026-07-05,,,,all-time content manager snapshot,supplemental all-time content manager rollup,2,outputs/master_content_list_sources/20260705T000921Z_manyvids_content_manager.csv,2026-07-04T20:09:39
ManyVids,Measuring and Weighing my Massive SSBBW Body,Measuring and Weighing my Massive SSBBW Body,4865472,19.99,26,519.73,311.84,19.99,11.99,742.0,23.0,Launched,,2026-07-05,,,,all-time content manager snapshot,supplemental all-time content manager rollup,2,outputs/master_content_list_sources/20260705T000921Z_manyvids_content_manager.csv,2026-07-04T20:09:39
ManyVids,SSBBW Solo POV BJ and Fuck,SSBBW Solo POV BJ and Fuck,4864837,13.99,53,739.37,443.62,13.95,8.37,614.0,41.0,Launched,,2026-07-05,,,,all-time content manager snapshot,supplemental all-time content manager rollup,2,outputs/master_content_list_sources/20260705T000921Z_manyvids_content_manager.csv,2026-07-04T20:09:39
ManyVids,Fat Girl Walks in Sexy Black Bodystocking,Fat Girl Walks in Sexy Black Bodystocking,4820263,14.99,30,752.43,451.46,25.08,15.05,708.0,37.0,Custom Vid,,2026-07-05,,,,all-time content manager snapshot,supplemental all-time content manager rollup,2,outputs/master_content_list_sources/20260705T000921Z_manyvids_content_manager.csv,2026-07-04T20:09:39
