planned_date,working_title,canonical_content_id,status,priority,target_platforms,promo_angle,price_plan,price_tier,test_type,hypothesis,success_metric,production_notes,owner,last_updated,source_file
2026-07-05,Weigh In Video,,filming,high,,weigh-in progress update,,,,,,Filming next release tomorrow.,,2026-07-04,/Users/paulhopkinsiii/Library/Mobile Documents/com~apple~CloudDocs/Lady Sublime HQ/Creator Sales Dashboard/planned_releases.csv
2026-07-09,Weigh In Video,,target release,high,,weigh-in progress update,,,,,,Target release date; schedule/upload ahead so July 10 stays clear.,,2026-07-04,/Users/paulhopkinsiii/Library/Mobile Documents/com~apple~CloudDocs/Lady Sublime HQ/Creator Sales Dashboard/planned_releases.csv
2026-07-14,Film Untitled July Release 2,,filming,high,,,,,,,,Film day for the July 20 release.,,2026-07-04,/Users/paulhopkinsiii/Library/Mobile Documents/com~apple~CloudDocs/Lady Sublime HQ/Creator Sales Dashboard/planned_releases.csv
2026-07-20,Untitled July Release 2,,target release,medium,,,,,,,,Target release date; title TBD.,,2026-07-04,/Users/paulhopkinsiii/Library/Mobile Documents/com~apple~CloudDocs/Lady Sublime HQ/Creator Sales Dashboard/planned_releases.csv
2026-07-23,Film Untitled July Release 3,,filming,high,,,,,,,,Film day for the July 30 release.,,2026-07-04,/Users/paulhopkinsiii/Library/Mobile Documents/com~apple~CloudDocs/Lady Sublime HQ/Creator Sales Dashboard/planned_releases.csv
2026-07-30,Untitled July Release 3,,target release,medium,,,,,,,,Target release date; title TBD.,,2026-07-04,/Users/paulhopkinsiii/Library/Mobile Documents/com~apple~CloudDocs/Lady Sublime HQ/Creator Sales Dashboard/planned_releases.csv
