platform,surface,item_id,label,canonical_content_id,canonical_title,content_group,mapping_status,first_date,last_date,first_offered_date,first_offered_basis,first_offered_confidence,recency_basis,grain,sales,gross,net,source_file
Clips4Sale,C4S title snapshot,28798697,SSBBW Slut Seduces You Into Impregnation POV,Video 0218,Seducing You Into Impregnation,Video,mapped,2024-03-17,2024-03-17,2024-03-15,master content release date,high,release date,supplemental lifetime title snapshot,6.0,101.9,61.14,2026-07-05_15-35-35_title_summary_2026-01-01_to_2026-07-05_Sales_Summary_by_Title_1-01-2026_to_1-01-2026.csv
Clips4Sale,C4S title snapshot,28454685,Horny SSBBW Jiggles and Bounces POV Solo,Video 0209,Morning SSBBW Fuck POV Solo,Video,mapped,2024-01-12,2024-01-12,2023-12-29,master content release date,high,release date,supplemental lifetime title snapshot,6.0,101.9,61.14,2026-07-05_15-35-35_title_summary_2026-01-01_to_2026-07-05_Sales_Summary_by_Title_1-01-2026_to_1-01-2026.csv
Clips4Sale,C4S title snapshot,31019213,SSBBW Psychologist II: Facestuffing and Gaining,Video 0269,Therapist Turns You Into a Feeder Part 2,Video,mapped,2025-04-29,2025-04-29,2025-04-27,master content release date,high,release date,supplemental lifetime title snapshot,4.0,99.93,59.96,2026-07-05_15-35-35_title_summary_2026-01-01_to_2026-07-05_Sales_Summary_by_Title_1-01-2026_to_1-01-2026.csv
Clips4Sale,C4S title snapshot,29317905,SSBBW Giantess Rubs Pussy on You,Video 0239,SSBBW Giantess Rubs Pussy on You,Video,mapped,2024-06-21,2024-06-21,2024-06-21,master content release date,high,release date,supplemental lifetime title snapshot,6.0,89.9,53.94,2026-07-05_15-35-35_title_summary_2026-01-01_to_2026-07-05_Sales_Summary_by_Title_1-01-2026_to_1-01-2026.csv
Clips4Sale,C4S title snapshot,28407177,SSBBW Gets Stuck in the Doorway,Video 0207,SSBBW Gets Stuck in the Doorway,Video,mapped,2023-12-18,2023-12-18,2023-12-17,master content release date,high,release date,supplemental lifetime title snapshot,5.0,84.92,50.95,2026-07-05_15-35-35_title_summary_2026-01-01_to_2026-07-05_Sales_Summary_by_Title_1-01-2026_to_1-01-2026.csv
Clips4Sale,C4S title snapshot,29100737,Old Fling Grows Into Massive SSBBW,Video 0233,Your Fave Hookup Got Fat,Video,mapped,2024-05-12,2024-05-12,2024-05-10,master content release date,high,release date,supplemental lifetime title snapshot,4.0,83.93,50.36,2026-07-05_15-35-35_title_summary_2026-01-01_to_2026-07-05_Sales_Summary_by_Title_1-01-2026_to_1-01-2026.csv
Clips4Sale,C4S title snapshot,29465941,Dominant Boss Makes You Worship Belly,Video 0245,Belly Worship to Keep Your Job,Video,mapped,2024-07-21,2024-07-21,2024-07-18,master content release date,high,release date,supplemental lifetime title snapshot,5.0,79.92,47.95,2026-07-05_15-35-35_title_summary_2026-01-01_to_2026-07-05_Sales_Summary_by_Title_1-01-2026_to_1-01-2026.csv
Clips4Sale,C4S title snapshot,28771123,Horny SSBBW Succubus Grows for Your Cum POV,Video 0216,Horny SSBBW Succubus Grows for Your Cum POV,Video,mapped,2024-03-10,2024-03-10,2024-03-10,master content release date,high,release date,supplemental lifetime title snapshot,4.0,75.93,45.56,2026-07-05_15-35-35_title_summary_2026-01-01_to_2026-07-05_Sales_Summary_by_Title_1-01-2026_to_1-01-2026.csv
Clips4Sale,C4S title snapshot,27963883,Fat Girl Walks in Sexy Black Bodystocking,Video 0187,Fat Girl Walks in Sexy Black Bodystocking,Video,mapped,2023-09-01,2023-09-01,2023-07-07,master content release date,high,release date,supplemental lifetime title snapshot,4.0,75.93,45.56,2026-07-05_15-35-35_title_summary_2026-01-01_to_2026-07-05_Sales_Summary_by_Title_1-01-2026_to_1-01-2026.csv
Clips4Sale,C4S title snapshot,28871581,SSBBW Stuffing & Crushing You POV,Video 0223,Growing SSBBW Stuffs 5000 Calories While Sitting on You POV 🤤🌮,Video,mapped,2024-04-08,2024-04-08,2024-04-01,master content release date,high,release date,supplemental lifetime title snapshot,3.0,74.95,44.97,2026-07-05_15-35-35_title_summary_2026-01-01_to_2026-07-05_Sales_Summary_by_Title_1-01-2026_to_1-01-2026.csv
