price_tier,price,message_count,purchases,sent,viewed,purchase_rate,gross,estimated_net,gross_per_viewed,net_per_viewed,net_per_1000_viewed,top_message,coverage_note
$15.99,15.99,4,101,14810,7654,0.0132,1614.99,1291.99,0.211,0.1688,168.8,"😘 I love guiding you through a stroke session! I hope you have fun with this special discounted joi clip! NEW, Your wife comes home and doesn't even glance at you before tearing into her family size bucket of chicken! Unlock if you love stroking to 🍗 sounds of chewing, burping, and farts! NEW, 🍾 🥂 It's your anniversary! After celebrating at the buffet your wife wants to show off her stuffed belly in her new lingerie. You know she needs tonight! NEW",OF PPV tier summary excludes direct one-to-one messages and rows with fewer than 25 viewed messages; use net per viewed message rather than purchases alone.
$29.99,29.99,2,39,11601,5629,0.0069,1169.61,935.69,0.2078,0.1662,166.23,"🤤 🦃 It was so fucking hot stuffing my face this thanksgiving! Unlock to see me absolutely full to bursting! NEW, It's part three of the psychologist series and we're taking things even further! We've made so much progress and you can fifinnaallllyy see what 😍 working towards all this time. I've turned you into my own personal feeder, and you're obsess",OF PPV tier summary excludes direct one-to-one messages and rows with fewer than 25 viewed messages; use net per viewed message rather than purchases alone.
$7.99,7.99,4,98,7135,4013,0.0244,783.02,626.42,0.1951,0.1561,156.1,"🤭 These pathetic weaklings couldn't handle their fitness instructor's earth-shaking stomps! Can you? Here's a discount for you to join my NEW, 🎄 You made it onto Santa's nice list this year! Enjoy this discount for a special treat from Mrs Claus! NEW, 🤤 My fat sounds so fucking hot clapping all together! Here's a little discount so you can fap along with it! NEW",OF PPV tier summary excludes direct one-to-one messages and rows with fewer than 25 viewed messages; use net per viewed message rather than purchases alone.
$19.99,19.99,9,190,47577,20999,0.009,3798.1,3038.48,0.1809,0.1447,144.7,"🤤 An intimate pov stuffing and making out with your feedee! Nothing turns you on than rubbing her belly while she stuffs her face. NEW, 🥵 🍑 These tight leggings look so much better ripped open! Watch me make fuck this fat pussy until I cum! NEW, 🤤 Budget cuts are coming, but the HR manager offers to help protect your job... As long as you take care of her needs. You're mine now, gonna feed me, fuck me, and worship me every day if you want to keep that paycheck. Unlock this video an",OF PPV tier summary excludes direct one-to-one messages and rows with fewer than 25 viewed messages; use net per viewed message rather than purchases alone.
$10.99,10.99,6,93,10683,5733,0.0162,1022.07,817.67,0.1783,0.1426,142.63,"OnlyFans message 117, 😘 Here's a little discount if you love when I make you feel tiny! NEW, 😘 I know you never get tired of this body so I strutting my fat stuff once again! Enjoy a special discount while it lasts! NEW",OF PPV tier summary excludes direct one-to-one messages and rows with fewer than 25 viewed messages; use net per viewed message rather than purchases alone.
$12.99,12.99,11,170,24304,13829,0.0123,2208.3,1766.63,0.1597,0.1277,127.75,"Squeezing my fat body in and out of this car and I even get brave enough to go topless with my fat tits and belly bouncing! Don't miss this 😘 count! NEW, 🎃 I think you'll like me in a cheer costume, so I'm sending you a special Halloween discount! NEW, OnlyFans message 93",OF PPV tier summary excludes direct one-to-one messages and rows with fewer than 25 viewed messages; use net per viewed message rather than purchases alone.
$17.99,17.99,1,24,6428,2764,0.0087,431.76,345.41,0.1562,0.125,124.97,"You've always dreamed what it would feel like to be crushed under my massive 525lb body, now I'm gonna show you. Unlock to see how I 🥞 🍑 you flat under my ass and feet! NEW",OF PPV tier summary excludes direct one-to-one messages and rows with fewer than 25 viewed messages; use net per viewed message rather than purchases alone.
$23.99,23.99,4,51,18716,8342,0.0061,1223.49,978.79,0.1467,0.1173,117.33,"You love obese pigs like me! I want you to stroke for my fat growing belly and lick my big sweaty, stinky ass! I bet you won't make it all the 😘 🍑 😛 the cum countdown. NEW, 😍 Six years after her last visit, Dorothy is back in Oz and fatter than ever! The Wizard won't be able to resist her luscious new body. If you 🌈 gain, sparkly red heels, and POV fucking, you definitely don't want to miss this one! NEW, 🍪 🍪 Your submissive feedee didn't make her gaining goals. Unlock to see how she makes it up to you! NEW",OF PPV tier summary excludes direct one-to-one messages and rows with fewer than 25 viewed messages; use net per viewed message rather than purchases alone.
$18.99,18.99,2,33,9066,4350,0.0076,626.67,501.34,0.1441,0.1153,115.25,"🍕 🤤 Stuffing my face and gaining turns me on so much! I want you to feed me pizza while I cum so I sent you this little discount! NEW, You catch me waking from a nap, my body eenngguullfifinngg the bed as it squeaks in protest. I light a cigarette, then wrestle with a long-forgotten es my arms and pops my belly free no matter how I tug. Flopping back, I smoke, squeeze, and",OF PPV tier summary excludes direct one-to-one messages and rows with fewer than 25 viewed messages; use net per viewed message rather than purchases alone.
$8.99,8.99,6,135,14875,8885,0.0152,1213.65,970.92,0.1366,0.1093,109.28,"😘 I want to cum so hard for you, so I sent you this special discount on my new video! NEW, 🎃 I need your cum for my potion, and I'm gonna drain you for every last drop! NEW, 🤰 I want you to get me pregnant and make this body grow so fat! NEW",OF PPV tier summary excludes direct one-to-one messages and rows with fewer than 25 viewed messages; use net per viewed message rather than purchases alone.
$9.99,9.99,3,39,6769,3721,0.0105,389.61,311.69,0.1047,0.0838,83.77,"I love teasing you with all my thickness and this time it's all about the ass and thighs! Here's a little discount so you can really enjoy every NEW, 🤤 Fucking my pussy until it's dripping with creamy cum! NEW, 🤭 You've fed me so fat, now your cock isn't big enough. Luckily my coworker's is. You're my boyfriend and my feeder, now you'll be my cuckold NEW",OF PPV tier summary excludes direct one-to-one messages and rows with fewer than 25 viewed messages; use net per viewed message rather than purchases alone.
$24.99,24.99,3,31,17740,7927,0.0039,774.69,619.74,0.0977,0.0782,78.18,"You've been seeing your psychologist for a while now and she thinks it's time for you to take the next step in accepting your fat attraction! 🍕 🤤 be watching her stuff her face, while she helps you come to terms with your desire! NEW, We've been so focused on my gain lately, I'm blowing up like a balloon! But I noticed your putting on a little weight too, and I wanna make you 🍩 Would you let me stuff these donuts in your face? NEW, You've been spotted by a massive gassy giantess, and there's nowhere for you to run. Will her burps and farts knock you out before she swallows 💨 😘 whole? You'll have to unlock to find out! NEW",OF PPV tier summary excludes direct one-to-one messages and rows with fewer than 25 viewed messages; use net per viewed message rather than purchases alone.
