message_id,message_type,date,clean_item_label,price_tier,price,purchases,sent,viewed,view_rate,purchase_rate,gross,estimated_net,gross_per_viewed,net_per_viewed,net_per_1000_viewed,source_file
pdf-message-e8c3148dac400ec7,group,2024-10-30,🤤 Chugging this soda makes my belly soooo fucking round and bloated. Will you rub it to help me burp up all this gas? NEW,$19.99,19.99,12,4553,1932,0.4243,0.0062,239.88,191.9,0.1242,0.0993,99.33,2026-07-04_19-56-54_onlyfans_native_messages_pdf_Statistics 1 — OnlyFans.json
pdf-message-8165e999fb9065ab,group,2024-05-11,🤤 Fucking my pussy until it's dripping with creamy cum! NEW,$9.99,9.99,19,2929,1606,0.5483,0.0118,189.81,151.85,0.1182,0.0946,94.55,2026-07-04_19-56-54_onlyfans_native_messages_pdf_Statistics 1 — OnlyFans.json
pdf-message-82c1551628945cbf,group,2024-12-11,"🥵 I know you can't get enough of this fat, and I'm jiggling it all for your cum. I wanna feel it dripping down this fat belly! NEW",$16.99,16.99,16,4853,2362,0.4867,0.0068,271.84,217.47,0.1151,0.0921,92.07,2026-07-04_19-56-54_onlyfans_native_messages_pdf_Statistics 1 — OnlyFans.json
pdf-message-7b8653f1325edb50,group,2025-03-14,"🥵 You get a front row seat to a steamy, jiggly, dripping wet strip tease! You know you can't resist stroking for this fat body! NEW",$21.99,21.99,13,5326,2522,0.4735,0.0052,285.87,228.7,0.1134,0.0907,90.68,2026-07-04_19-56-54_onlyfans_native_messages_pdf_Statistics 1 — OnlyFans.json
pdf-message-bef79ee14061d5e9,group,2024-03-16,👅 My tits are getting covered in whipped cream! Here's a discount so you can lick them clean for me. NEW,$11.99,11.99,9,1789,980,0.5478,0.0092,107.91,86.33,0.1101,0.0881,88.09,2026-07-04_19-56-54_onlyfans_native_messages_pdf_Statistics 1 — OnlyFans.json
pdf-message-0009aa8ae2a0d253,group,2024-04-10,Out of breath and struggling to make it through this workout! Make sure to use this discount and enjoy every jiggle! NEW,$12.99,12.99,9,2094,1116,0.533,0.0081,116.91,93.53,0.1048,0.0838,83.81,2026-07-04_19-56-54_onlyfans_native_messages_pdf_Statistics 1 — OnlyFans.json
pdf-message-8d6a916190632d94,group,2024-07-17,"You didn't make your quota.. Again. If you want to keep your job, you're gonna have to get on your knees and worship your boss's fat belly! NEW",$12.99,12.99,16,3627,2040,0.5624,0.0078,207.84,166.27,0.1019,0.0815,81.5,2026-07-04_19-56-54_onlyfans_native_messages_pdf_Statistics 1 — OnlyFans.json
pdf-message-1129453ee35cfd5a,group,2024-06-11,😈 I'm horny and I want you so bad! Would this video convince you to come over? NEW,$7.99,7.99,20,3265,1639,0.502,0.0122,159.8,127.84,0.0975,0.078,78.0,2026-07-04_19-56-54_onlyfans_native_messages_pdf_Statistics 1 — OnlyFans.json
pdf-message-fac43733013dede1,group,2025-02-28,🚬 💄 Your secret voyeur cam watches as I get ready to go out. Unlock if you love admiring my fat and watching me smoke! NEW,$21.99,21.99,9,5075,2241,0.4416,0.004,197.91,158.33,0.0883,0.0707,70.65,2026-07-04_19-56-54_onlyfans_native_messages_pdf_Statistics 1 — OnlyFans.json
pdf-message-bec8a1ee9daab10b,group,2024-04-20,🤤 These skin-tight pants look amazing on me! They look even better when I strip them off and show off this fat pussy! NEW,$8.99,8.99,13,2507,1509,0.6019,0.0086,116.87,93.5,0.0774,0.062,61.96,2026-07-04_19-56-54_onlyfans_native_messages_pdf_Statistics 1 — OnlyFans.json
pdf-message-04ab718a31823480,group,2025-07-21,"Your fat co-worker has been stealing lunches and work and you've plotted your revenge - a cursed cake worth a million calories. Watch as 🎂 💥 keep shoving bite after messy bite in my face until I'm busting my buttons, breaking chairs, and fi",$27.99,27.99,5,6228,2673,0.4292,0.0019,139.95,111.96,0.0524,0.0419,41.89,2026-07-04_19-56-54_onlyfans_native_messages_pdf_Statistics 1 — OnlyFans.json
pdf-message-98250e87835adeea,group,2024-01-16,"🤤 🥞 Looking sexy and stuffing my face, my two favorite things! I thought you might want a discount to watch me devour every bite! NEW",$12.99,12.99,2,1321,817,0.6185,0.0024,25.98,20.78,0.0318,0.0254,25.43,2026-07-04_19-56-54_onlyfans_native_messages_pdf_Statistics 1 — OnlyFans.json
pdf-message-94fc928150ab185d,group,2025-02-18,🍪 🍪 Your submissive feedee didn't make her gaining goals. Unlock to see how she makes it up to you! NEW,$23.99,23.99,2,4958,1872,0.3776,0.0011,47.98,38.38,0.0256,0.0205,20.5,2026-07-04_19-56-54_onlyfans_native_messages_pdf_Statistics 1 — OnlyFans.json
pdf-message-bf4f2a0857ae7a70,group,2024-03-31,🤤 🌮 I'm sat on top of you and stuffing this gorgeous belly full! Lay back and feel me get heavier and heavier on top of you. NEW,$23.99,23.99,1,2040,1126,0.552,0.0009,23.99,19.19,0.0213,0.017,17.04,2026-07-04_19-56-54_onlyfans_native_messages_pdf_Statistics 1 — OnlyFans.json
pdf-message-e567d1498dd5a1e1,group,2026-01-30,"You've been spotted by a massive gassy giantess, and there's nowhere for you to run. Will her burps and farts knock you out before she swallows 💨 😘 whole? You'll have to unlock to find out! NEW",$24.99,24.99,2,7080,2795,0.3948,0.0007,49.98,39.98,0.0179,0.0143,14.3,2026-07-04_19-56-54_onlyfans_native_messages_pdf_Statistics 1 — OnlyFans.json
pdf-message-5fff779bcc1456f4,group,2024-11-14,"If you can resist, I'll let you go. If you can't, you're getting shrunk... And nobody can resist me. This is my first vore video so unlock if you've 😋 getting swallowed by me! NEW",$19.99,19.99,2,4617,2231,0.4832,0.0009,39.98,31.98,0.0179,0.0143,14.33,2026-07-04_19-56-54_onlyfans_native_messages_pdf_Statistics 1 — OnlyFans.json
pdf-message-bf64c1fd76f4412c,group,2024-04-19,"🤭 You've fed me so fat, now your cock isn't big enough. Luckily my coworker's is. You're my boyfriend and my feeder, now you'll be my cuckold NEW",$9.99,9.99,1,2260,1246,0.5513,0.0008,9.99,7.99,0.008,0.0064,6.41,2026-07-04_19-56-54_onlyfans_native_messages_pdf_Statistics 1 — OnlyFans.json
pdf-message-eb2b17394b123221,group,2024-06-14,💦 I need your nut baby! Stroke for me while I bounce my belly and twerk my fat ass for you! NEW,$12.99,12.99,1,3282,2052,0.6252,0.0005,12.99,10.39,0.0063,0.0051,5.06,2026-07-04_19-56-54_onlyfans_native_messages_pdf_Statistics 1 — OnlyFans.json
