message_id,message_type,date,clean_item_label,price_tier,price,purchases,sent,viewed,view_rate,purchase_rate,gross,estimated_net,gross_per_viewed,net_per_viewed,net_per_1000_viewed,source_file
pdf-message-e62cfdb398bf8b37,group,2023-12-11,😘 Here's a little discount if you love when I make you feel tiny! NEW,$10.99,10.99,14,1213,709,0.5845,0.0197,153.86,123.09,0.217,0.1736,173.61,2026-07-04_19-56-54_onlyfans_native_messages_pdf_Statistics 1 — OnlyFans.json
pdf-message-e135355892de0fdb,group,2024-02-08,😘 I know you never get tired of this body so I strutting my fat stuff once again! Enjoy a special discount while it lasts! NEW,$10.99,10.99,18,1523,915,0.6008,0.0197,197.82,158.26,0.2162,0.173,172.96,2026-07-04_19-56-54_onlyfans_native_messages_pdf_Statistics 1 — OnlyFans.json
pdf-message-16d370ecfa5475ee,group,2025-10-24,"Your wife comes home and doesn't even glance at you before tearing into her family size bucket of chicken! Unlock if you love stroking to 🍗 sounds of chewing, burping, and farts! NEW",$15.99,15.99,39,6824,2906,0.4258,0.0134,623.61,498.89,0.2146,0.1717,171.68,2026-07-04_19-56-54_onlyfans_native_messages_pdf_Statistics 1 — OnlyFans.json
pdf-message-78c586773b73ea46,group,2024-03-30,"🤭 🤤 I used old pictures on the dating site, I hope I haven't gained too much for you! You'll want this one if you like fat, dripping wet pussy! NEW",$11.99,11.99,20,1987,1124,0.5657,0.0178,239.8,191.84,0.2133,0.1707,170.68,2026-07-04_19-56-54_onlyfans_native_messages_pdf_Statistics 1 — OnlyFans.json
pdf-message-8438a9779c9afe40,group,2024-10-25,😘 Your girlfriend satisfies your ultimate fantasy by growing into a 14-foot giantess! Unlock if you would climb my soft mountainous body! NEW,$16.99,16.99,25,4552,2041,0.4484,0.0122,424.75,339.8,0.2081,0.1665,166.49,2026-07-04_19-56-54_onlyfans_native_messages_pdf_Statistics 1 — OnlyFans.json
pdf-message-3000ae19f6dcc643,group,2024-07-21,🍾 🥂 It's your anniversary! After celebrating at the buffet your wife wants to show off her stuffed belly in her new lingerie. You know she needs tonight! NEW,$15.99,15.99,27,3732,2099,0.5624,0.0129,431.73,345.38,0.2057,0.1645,164.55,2026-07-04_19-56-54_onlyfans_native_messages_pdf_Statistics 1 — OnlyFans.json
pdf-message-53b0b683e8ded64c,group,2024-03-08,🤤 My fat sounds so fucking hot clapping all together! Here's a little discount so you can fap along with it! NEW,$7.99,7.99,24,1688,985,0.5835,0.0244,191.76,153.41,0.1947,0.1557,155.75,2026-07-04_19-56-54_onlyfans_native_messages_pdf_Statistics 1 — OnlyFans.json
pdf-message-9d996217cf3e39a1,group,2026-02-22,"😳 I thought these diet pills would solve everything, but it all went wrong! I grew so quick and got wedged in the car, by then it was too late... 🍗 🎈 wanna see me expand until I pop! NEW",$14.99,14.99,36,7083,2796,0.3947,0.0129,539.64,431.71,0.193,0.1544,154.4,2026-07-04_19-56-54_onlyfans_native_messages_pdf_Statistics 1 — OnlyFans.json
pdf-message-052701819d621031,group,2023-11-10,"👠 You love to see me strut and jiggle, so I've got another sexy catwalk at a special discount just for you! NEW",$10.99,10.99,12,1075,685,0.6372,0.0175,131.88,105.5,0.1925,0.154,154.01,2026-07-04_19-56-54_onlyfans_native_messages_pdf_Statistics 1 — OnlyFans.json
pdf-message-670ce937df9a1519,group,2023-09-30,😘 I'm telling you just how to worship my gorgeous body from tits to toes and this is your chance kneel for me at a special discount! NEW,$12.99,12.99,9,966,616,0.6377,0.0146,116.91,93.53,0.1898,0.1518,151.83,2026-07-04_19-56-54_onlyfans_native_messages_pdf_Statistics 1 — OnlyFans.json
pdf-message-3c9d85a27b1425a7,group,2025-04-24,"It's been a busy work day but I'm sooo fucking horny! I get a little break in the day and decide to try and cum before my next meeting, only 🥵 💻 start early! You don't want to miss how naughty I get during this work meeting! NEW",$21.99,21.99,23,5755,2735,0.4752,0.0084,505.77,404.62,0.1849,0.1479,147.94,2026-07-04_19-56-54_onlyfans_native_messages_pdf_Statistics 1 — OnlyFans.json
pdf-message-ad988a56075ec32e,group,2024-11-13,🥵 You can't help but grab your cock when you see all this gorgeous fat parading around in front of you! Will you give me your cum baby? NEW,$12.99,12.99,32,4601,2286,0.4968,0.014,415.68,332.54,0.1818,0.1455,145.47,2026-07-04_19-56-54_onlyfans_native_messages_pdf_Statistics 1 — OnlyFans.json
pdf-message-f1c0f9e343f9d788,group,2024-04-20,😊 I haven't showered in a few days and now you're going to worship all my stinky sweaty crevices and dirty little asshole! NEW,$14.99,14.99,15,2323,1239,0.5334,0.0121,224.85,179.88,0.1815,0.1452,145.18,2026-07-04_19-56-54_onlyfans_native_messages_pdf_Statistics 1 — OnlyFans.json
pdf-message-b5c80687d3c6dc29,group,2025-01-12,"🤤 🍔 Your girlfriend stuffs her face, but you didn't bring enough to satisfy her gluttonous appetite! Guess who's next on the menu.. Unlock 😍 facestuffing and vore! NEW",$21.99,21.99,18,4909,2219,0.452,0.0081,395.82,316.66,0.1784,0.1427,142.7,2026-07-04_19-56-54_onlyfans_native_messages_pdf_Statistics 1 — OnlyFans.json
pdf-message-807a53862424b7c7,group,2024-04-30,🍕 🤤 Stuffing my face and gaining turns me on so much! I want you to feed me pizza while I cum so I sent you this little discount! NEW,$18.99,18.99,14,2738,1577,0.576,0.0089,265.86,212.69,0.1686,0.1349,134.87,2026-07-04_19-56-54_onlyfans_native_messages_pdf_Statistics 1 — OnlyFans.json
pdf-message-3fd2d2ad1ab50c55,group,2025-11-20,"It's part three of the psychologist series and we're taking things even further! We've made so much progress and you can fifinnaallllyy see what 😍 working towards all this time. I've turned you into my own personal feeder, and you're obsess",$29.99,29.99,19,6943,3479,0.5011,0.0055,569.81,455.85,0.1638,0.131,131.03,2026-07-04_19-56-54_onlyfans_native_messages_pdf_Statistics 1 — OnlyFans.json
