scope,period_start,period_end,elapsed_days,days_remaining,days_in_year,ytd_gross,ytd_net,gross_daily_pace,net_daily_pace,projected_remaining_gross,projected_remaining_net,projected_annual_gross,projected_annual_net,method
Total,2026-01-01,2026-07-16,197,168,365,110047.26,74658.73,558.62,378.98,93847.41,63668.36,203894.68,138327.09,YTD actual plus YTD daily pace multiplied by remaining calendar-year days.
Clips4Sale,2026-01-01,2026-07-16,197,168,365,34246.92,20548.15,173.84,104.31,29205.5,17523.3,63452.42,38071.45,YTD actual plus YTD daily pace multiplied by remaining calendar-year days.
Curvage,2026-01-01,2026-07-16,197,168,365,21698.15,16489.56,110.14,83.7,18504.01,14062.16,40202.16,30551.72,YTD actual plus YTD daily pace multiplied by remaining calendar-year days.
ManyVids,2026-01-01,2026-07-16,197,168,365,8748.91,5263.33,44.41,26.72,7461.0,4488.53,16209.91,9751.86,YTD actual plus YTD daily pace multiplied by remaining calendar-year days.
OnlyFans,2026-01-01,2026-07-16,197,168,365,16943.37,13554.64,86.01,68.81,14449.17,11559.29,31392.54,25113.92,YTD actual plus YTD daily pace multiplied by remaining calendar-year days.
ModelCentro,2026-01-01,2026-07-16,197,168,365,28409.91,18803.05,144.21,95.45,24227.74,16035.09,52637.65,34838.14,YTD actual plus YTD daily pace multiplied by remaining calendar-year days.
