rank,canonical_content_id,canonical_title,content_group,platform_list,surface_list,sales,gross,net,avg_net,first_offered_date,first_offered_basis,first_offered_confidence,days_since_launch,sales_per_day,net_per_day,latest_date,mapping_status,source_rows,c4s_sales,c4s_gross,c4s_net,curvage_sales,curvage_gross,curvage_net,manyvids_sales,manyvids_gross,manyvids_net,onlyfans_sales,onlyfans_gross,onlyfans_net,modelcentro_sales,modelcentro_gross,modelcentro_net
122,Video 0187,Chair Breaking Under Huge SSBBW,Video,Curvage,Curvage Purchases per clips,1,19.99,14.79,14.79,2023-06-21,master content release date,high,1128,0.0,0.01,2026-05-21,mapped,1,0,0.0,0.0,1,19.99,14.79,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
123,Video 0092,POV Fucking and Sucking,Video,ManyVids,ManyVids transaction,2,23.97,14.38,7.19,2020-06-14,master content release date,high,2230,0.0,0.01,2026-05-23,mapped,2,0,0.0,0.0,0,0.0,0.0,2,23.97,14.38,0,0.0,0.0,0,0.0,0.0
124,unmapped:onlyfans:i-just-want-to-be-a-cum-filled-slut-for-you-baby-imagine-us-fucking-li,"I just want to be a cum filled slut for you baby, imagine us fucking like this.. have you seen it? 😈",,OnlyFans,OF direct message,1,17.0,13.6,13.6,2026-03-30,OF message sent date,medium,115,0.01,0.12,2026-03-30,needs mapping,1,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,1,17.0,13.6,0,0.0,0.0
125,Video 0136,Fat Jiggly Ass,Video,"ManyVids, ModelCentro","ManyVids transaction, ModelCentro transaction",2,20.97,13.33,6.67,2021-06-12,master content release date,high,1867,0.0,0.01,2026-02-25,mapped,2,0,0.0,0.0,0,0.0,0.0,1,10.98,6.59,0,0.0,0.0,1,9.99,6.74
126,Video 0236,Your Wife Accidentally Gains,Video,ManyVids,ManyVids transaction,1,21.98,13.19,13.19,2024-05-06,master content release date,high,808,0.0,0.02,2026-06-07,mapped,1,0,0.0,0.0,0,0.0,0.0,1,21.98,13.19,0,0.0,0.0,0,0.0,0.0
127,Video 0267,Voyeur Watches Me Get Ready,Video,ManyVids,ManyVids transaction,1,21.98,13.19,13.19,2025-02-28,master content release date,high,510,0.0,0.03,2026-06-12,mapped,1,0,0.0,0.0,0,0.0,0.0,1,21.98,13.19,0,0.0,0.0,0,0.0,0.0
128,Video 0109,Come Back to Bed POV,Video,ManyVids,ManyVids transaction,2,21.97,13.18,6.59,2020-10-11,master content release date,high,2111,0.0,0.01,2026-07-07,mapped,2,0,0.0,0.0,0,0.0,0.0,2,21.97,13.18,0,0.0,0.0,0,0.0,0.0
129,Video 0061,Fuck Me POV,Video,"ManyVids, ModelCentro","ManyVids transaction, ModelCentro transaction",2,19.97,13.1,6.55,2019-11-13,master content release date,high,2444,0.0,0.01,2026-06-14,mapped,2,0,0.0,0.0,0,0.0,0.0,1,4.98,2.99,0,0.0,0.0,1,14.99,10.11
130,unmapped:onlyfans:maybe-you-could-start-eating-that-fat-ass-for-me-and-encourage-all-tho,Maybe you could start eating that fat ass for me and encourage all those farts come to the surface? 🥵,,OnlyFans,OF direct message,1,15.0,12.0,12.0,2026-05-02,OF message sent date,medium,82,0.01,0.15,2026-05-02,needs mapping,1,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,1,15.0,12.0,0,0.0,0.0
131,unmapped:onlyfans:onlyfans-message-39484540697,OnlyFans message 39484540697,,OnlyFans,OF direct message,1,15.0,12.0,12.0,2026-05-01,OF message sent date,medium,83,0.01,0.14,2026-05-01,needs mapping,1,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,1,15.0,12.0,0,0.0,0.0
